YEAR,IMO,NAME,TYPE,GT,LDT,BUILT,LAST_FLAG,PREVIOUS_FLAG,BENEFICIAL_OWNER,BO_COUNTRY,COMMERCIAL_OPERATOR,REGISTERED_OWNER,RO_COUNTRY,PLACE,COUNTRY,ARRIVAL
2016,9292242,Bull Hunter,Fully Cellular Containership,54519,,2004,Liberia,,Delphis N.V. ,Belgium,Delphis N.V. ,Bull Hunter Limited ,Hong Kong,Chittagong,Bangladesh,24-11-2016
2016,6829795,Sanderus,Trailing Suction Hopper Dredger,4740,,1967,Mauritius,,Jan De Nul Group ,Belgium,Port Louis Maritime Corporation Limited ,Port Louis Maritime Corporation Limited ,Mauritius,Ghent,Belgium,31-12-2016
2016,9175066,Water,Bulk Carrier,85695,,1999,Niue,,CMB N.V. S.A. ,Belgium,Bocimar Belgium N.V. ,Bocimar Belgium N.V. ,,Chittagong,Bangladesh,27-02-2016
2016,8604606,Spring Bay,Reefer,3999,,1987,St. Kitts-Nevis,,Euro Marine Services B.V.B.A. ,Belgium,Euro Marine Services B.V.B.A. ,Juno Shipping Company Limited ,Belize,Alang,India,19-10-2016
2016,7357452,Methani,Liquid Natural Gas Carrier,81792,,1978,St. Kitts-Nevis ,,Exmar N.V.  ,Belgium,Exmar Marine N.V.  ,Distrigas LNG Shipping NV  ,Belgium,Aliaga,Turkey,07-06-2016
2016,8512970,Swan Arrow,Bulk Carrier With Container Capacity,28805,,1987,Bahamas,,Gearbulk Holding Limited ,Bermuda,Gearbulk Holding Limited ,Gearbulk Shipowning Limited ,Bermuda,Alang,India,10-03-2016
2016,8512968,Tsuru Arrow,Bulk Carrier With Container Capacity,28805,,1987,Bahamas,,Gearbulk Holding Limited  ,Bermuda,Gearbulk Holding Limited  ,Gearbulk Shipowning Limited  ,Bermuda,Alang,India,06-04-2016
2016,8308159,Harefield,General Cargo With Container Capacity,27818,,1985,Bahamas,,Gearbulk Holding Limited  ,Bermuda,Gearbulk Holding Limited  ,Gearbulk Shipowning Limited  ,Bermuda,Alang,India,21-09-2016
2016,9113915,Berge Matterhorn,Bulk Carrier,87743,,1996,Isle of Man,,Berge Bulk Limited ,Bermuda,Berge Bulk (Norway) AS ,Dillingham Company S.A. ,Isle of Man,Chittagong,Bangladesh,16-03-2016
2016,28027,Siteam Anja,Combined Chemical And Oil Tanker,28027,,1997,Marshall Islands,,Team Tankers International Limited ,Bermuda,Team Tankers Management AS ,Team Tankers Deep Sea Limited ,Bermuda,Aliaga,Turkey,07-09-2016
2016,9042221,Renuar,Bulk Carrier,38520,,1993,Panama,,Excel Maritime Carriers Limited ,Bermuda,Excel Maritime Carriers Limited ,Candy Enterprises Incorporated ,Greece,Gadani,Pakistan,04-12-2015
2016,5203554,Searcher,Drill Ship,13469,,1959,St. Kitts-Nevis,,Northern Offshore Limited,Bermuda,Jet Drilling (S) Private Limited ,Jet Shipping Limited ,St. Vincent & Grenadines,Alang,India,12-11-2016
2016,8301826,Avras,Product Tanker,19290,,1992,Djibouti,,Petroleo Brasileiro S.A. - PETROBRAS & Departamento de Transporte - DETRAN ,Brazil,Petrobras Transporte S.A. (TRANSPETRO) ,Petrobras Transporte S.A. (TRANSPETRO) ,Brazil,Alang,India,28-01-2016
2016,8415964,Ore Timbopeba,Bulk Ore Carrier,100070,,1986,Liberia,,Vale SA (formerly Companhia Vale do Rio Doce) ,Brazil,Seamar Shipping Corporation ,Seamar Shipping Corporation ,Liberia,Chittagong,Bangladesh,10-02-2016
2016,9001289,Ore Itabira,Bulk Ore Carrier,93699,,1991,Liberia,,Vale SA (formerly Companhia Vale do Rio Doce) ,Brazil,Seamar Shipping Corporation ,Seamar Shipping Corporation ,Liberia,Chittagong,Bangladesh,10-03-2016
2016,8206947,Mos,Product Tanker,18526,,1985,Comoros,,Bratina Corporation Limited ,British Virgin Islands,Caroil Transport Marine Limited ,Dunkery International S.A. ,Panama,Alang,India,24-03-2016
2016,9179579,RZS Harmony ,Bulk Carrier,87614,,1999,Hong Kong,,Rising Stella Investment Holdings Corporation  ,British Virgin Islands,Cara Shipping Private Limited  ,RZS Harmony Shipping Company Limited  ,Hong Kong,Gadani,Pakistan,27-04-2016
2016,9136589,RZS Fortune,Bulk Carrier,83658,,1996,Marshall Islands,,Rising Stella Investment Holdings Corporation ,British Virgin Islands,Cara Shipping Private Limited ,RZS Fortune Shipping Company Limited ,Marshall Islands,Gadani,Pakistan,01-12-2015
2016,7625794,New  ,Passenger Ro/Ro,12586,,1980,Palau,,Arising International Holdings Limited ,British Virgin Islands,Arising International Holdings Limited ,Arising International Holdings Limited ,British Virgin Islands,Alang,India,15-10-2016
2016,8604905,Hua Xiang,Bulk Carrier,15742,,1986,Palau,,Vastfield Limited  ,British Virgin Islands,Vastfield Limited  ,Vastfield Limited  ,British Virgin Islands,Chittagong,Bangladesh,12-06-2016
2016,9004176,Plana,Bulk Carrier,13834,,1991,Malta,,Government of Bulgaria  ,Bulgaria,Navigation Maritime Bulgare Limited (NAVIBULGAR)  ,Plana Navigation Limited  ,Malta,Alang,India,08-04-2016
2016,9044700,Vola 1,Bulk Carrier,13851,,1992,Malta,,Navigation Maritime Bulgare AD (NAVIBULGAR) ,Bulgaria,Navigation Maritime Bulgare AD (NAVIBULGAR) ,Vola Maritime Limited ,Bulgaria,Chittagong,Bangladesh,16-11-2016
2016,9110896,Federal St.Laurent,Bulk Carrier,20837,,1996,Barbados,,Fednav Limited ,Canada,Fednav Agency Limited ,Federal Atlantic Limited ,Marshall Islands,Xinhui,China,12-06-2016
2016,9251365,Seaswan 1,Fully Cellular Containership,53822,,2003,Comoros,,Washington Marine Group ,Canada,Seaspan Corporation  ,Seaspan Corporation  ,Hong Kong,Alang,India,30-12-2016
2016,7315777,Pacific Hickory,Tug ,880,,1973,Dominica,,Seabridge Marine Services Limited ,Canada,Seabridge Marine Services Limited ,Seabridge Marine Services Limited ,Canada,Aliaga,Turkey,15-12-2016
2016,9251377,Seaspan Excellence,Fully Cellular Containership,53822,,2003,Hong Kong,,Washington Marine Group  ,Canada,Seaspan Corporation  ,Seaspan Corporation  ,Hong Kong,Alang,India,31-08-2016
2016,8613322,MSC Manu,Fully Cellular Containership,52191,,1989,Panama,,Washington Marine Group,Canada,Seaspan Marine Corporation ,Seaspan Marine Corporation ,Canada,Alang,India,18-10-2016
2016,8618308,MSC Carole,Fully Cellular Containership,52191,,1989,Panama,,Washington Marine Group ,Canada,Seaspan Corporation  ,Seaspan Corporation  ,Hong Kong,Alang,India,17-12-2016
2016,8016641,Peter,Bulk Carrier,19853,,1982,Sierra Leone,,Algoma Central Corporation ,Canada,Algoma Central Corporation ,Algoma Central Corporation ,Canada,Aliaga,Turkey,18-07-2016
2016,6816607,Mari,Bulk Carrier,17820,,1968,Sierra Leone,,Algoma Central Corporation  ,Canada,Algoma Central Corporation  ,Algoma Central Corporation  ,Canada,Aliaga,Turkey,22-06-2016
2016,6707961,Navi,Bulk Carrier,18788,,1967,Sierra Leone,,Algoma Central Corporation  ,Canada,Algoma Central Corporation  ,Algoma Central Corporation  ,Canada,Aliaga,Turkey,25-06-2016
2016,8016639,Spirit of Shpongle,Bulk Carrier,25128,,1985,St. Vincent & Grenadines,,The CSL Group Incorporated ,Canada,The CSL Group Incorporated ,The CSL Group Incorporated ,Canada,Aliaga,Turkey,11-12-2016
2016,1005708,Barbie,Yacht,625,,2008,Marshall Islands,,Barbie Limited ,Cayman Islands,Barbie Limited ,Barbie Limited ,Cayman Islands,Aliaga,Turkey,06-04-2016
2016,9146807,Tivoli,Bulk Carrier,17879,,1997,Panama,,Wisdom Marine Lines Company Limited  ,Cayman Islands,Wisdom Marine Lines Company Limited  ,Lion Maritime S.A.  ,Taiwan,Chittagong,Bangladesh,16-09-2016
2016,9120750,Yuehe,Fully Cellular Containership,65140,,1997,China,,China COSCO Shipping Corporation Limited ,China,Shanghai Panasia Shipping Company Limited ,Shanghai Panasia Shipping Company Limited ,China,Jiangyin,China,19-11-2016
2016,9139012,Hanihe,Fully Cellular Containership,36772,,1997,China,,China COSCO Shipping Corporation Limited ,China,Shanghai Panasia Shipping Company Limited ,Shanghai Panasia Shipping Company Limited ,China,Zhoushan,China,25-08-2016
2016,9139050,Yu Gu He,Fully Cellular Containership,36772,,1997,China,,China COSCO Shipping Corporation Limited ,China,Shanghai Panasia Shipping Company Limited ,Shanghai Panasia Shipping Company Limited ,China,Zhoushan,China,15-08-2016
2016,8318037,Xin Yin He,Fully Cellular Containership,19237,,1984,China,,China COSCO Shipping Corporation Limited ,China,Shanghai Panasia Shipping Company Limited ,Shanghai Panasia Shipping Company Limited ,China,Xinhui,China,15-04-2016
2016,9055993,Feng Shan Hai,Bulk Carrier,38603,,1994,China,,China COSCO Shipping Corporation Limited ,China,COSCO Bulk Carrier Company Limited ,COSCO Bulk Carrier Company Limited ,China,Jiangyin,China,06-06-2016
2016,9139000,Buyihe,Fully Cellular Containership,36772,,1997,China,,China COSCO Shipping Corporation Limited ,China,Shanghai Panasia Shipping Company Limited ,Shanghai Panasia Shipping Company Limited ,China,Xinhui,China,11-08-2016
2016,9139036,Jing Po He,Fully Cellular Containership,36772,,1997,China,,China COSCO Shipping Corporation Limited ,China,Shanghai Panasia Shipping Company Limited ,Shanghai Panasia Shipping Company Limited ,China,Zhoushan,China,24-08-2016
2016,9155339,Shan Hai,Bulk Carrier,27585,,1998,China,,China COSCO Shipping Corporation Limited ,China,COSCO Bulk Carrier Company Limited ,COSCO Bulk Carrier Company Limited ,China,Taizhou,China,12-09-2016
2016,9139062,Luo Ba He,Fully Cellular Containership,36772,,1998,China,,China COSCO Shipping Corporation Limited ,China,Shanghai Panasia Shipping Company Limited ,Shanghai Panasia Shipping Company Limited ,China,Zhoushan,China,05-10-2016
2016,9120762,Zhong Yuan Qing Dao,Fully Cellular Containership,65140,,1997,China,,China COSCO Shipping Corporation Limited ,China,Shanghai Panasia Shipping Company Limited ,Shanghai Panasia Shipping Company Limited ,China,Xinhui,China,11-10-2016
2016,9120774,Wan He,Fully Cellular Containership,65140,,1997,China,,China COSCO Shipping Corporation Limited ,China,Shanghai Panasia Shipping Company Limited ,Shanghai Panasia Shipping Company Limited ,China,Zhoushan,China,06-11-2016
2016,9120786,Jing He,Fully Cellular Containership,65140,,1997,China,,China COSCO Shipping Corporation Limited ,China,Shanghai Panasia Shipping Company Limited ,Shanghai Panasia Shipping Company Limited ,China,Jiangyin,China,13-11-2016
2016,9139048,Xibohe,Fully Cellular Containership,36772,,1997,China,,China COSCO Shipping Corporation Limited ,China,Shanghai Panasia Shipping Company Limited ,Shanghai Panasia Shipping Company Limited ,China,Jiangyin,China,21-11-2016
2016,9120748,Luhe,Fully Cellular Containership,65140,,1997,China,,China COSCO Shipping Corporation Limited ,China,Shanghai Panasia Shipping Company Limited ,Shanghai Panasia Shipping Company Limited ,China,Zhoushan,China,06-12-2016
2016,9162447,Yang Hai,Bulk Carrier,27585,,1999,China,,China COSCO Shipping Corporation Limited ,China,COSCO Bulk Carrier Company Limited ,COSCO Bulk Carrier Company Limited ,China,Jiangyin,China,09-12-2016
2016,9100401,Hua Run Chuang Ye,Bulk Carrier,25943,,1994,China,,China COSCO Shipping Corporation Limited ,China,China Shipping Development Company Limited ,China Resources Power Shipping (Tianjin) Company Limited ,China,Jiangyin,China,31-12-2016
2016,9177507,Le Ding,General Cargo With Container Capacity,15525,,1998,China,,China Ocean Shipping (Group) Company (COSCO) ,China,Guangzhou Ocean Shipping Company (COSCO Guangzhou) ,Guangzhou Ocean Shipping Company (COSCO Guangzhou) ,China,Zhangjiagang,China,23-12-2015
2016,8324191,Meng Hai,Bulk Carrier,26982,,1985,China,,China Ocean Shipping (Group) Company (COSCO) ,China,COSCO Bulk Carrier Company Limited ,COSCO Bulk Carrier Company Limited ,China,Jiangyin,China,25-03-2016
2016,9055967,Gao Zhou Hai,Bulk Carrier,38712,,1994,China,,China Ocean Shipping (Group) Company (COSCO) - SEE NOW AS CHINA COSCO SHIPPING CORPORATION LIMITED ,China,COSCO Bulk Carrier Company Limited ,Tianjin Tianhui Shipping Enterprises Company Limited ,China,Zhoushan,China,21-03-2016
2016,9036375,Qinfa 10,Bulk Carrier,40284,,1992,China,,China Qinfa Group Limited ,China,Hong Kong Qinfa Shipping Limited ,Zhuhai Qinfa Shipping Company Limited ,China,Xinhui,China,15-06-2016
2016,8412091,Wu Zhou Yi Hao,Bulk Carrier,35911,,1987,China,,China Shipping (Group) Company ,China,China Shipping International Ship Management Company Limited Guangzhou Branch ,Chaozhou Xingwang Shipping Company Limited ,China,Xinhui,China,18-02-2016
2016,8711112,Wu Zhou 2,Bulk Carrier,36042,,1989,China,,China Shipping (Group) Company ,China,China Shipping International Ship Management Company Limited Guangzhou Branch ,Chaozhou Xingwang Shipping Company Limited ,China,Xinhui,China,20-05-2016
2016,8405763,Tai Hui 3,Bulk Carrier,22091,,1985,China,,"Government of China, (The People's Republic of) ",China,"Government of China, (The People's Republic of) ","Government of China, (The People's Republic of) ",China,Jiangyin,China,16-06-2016
2016,7412329,Hang Jun 5 ,Hopper Dredger,1504,,1975,China,,"Government of China, (The People's Republic of)  ",China,Nanjing Changjiang Waterway Engineering Bureau  ,Changjiang Wuhan Waterway Engineering Bureau  ,China,Chittagong,Bangladesh,07-09-2016
2016,8800107,Bei Lun Hai 18,Bulk Carrier,36433,,1990,China,,Ningbo Economic & Technological Development Zone Longsheng Shipping Company Limited ,China,Ningbo Economic & Technological Development Zone Longsheng Shipping Company Limited ,Ningbo Economic & Technological Development Zone Longsheng Shipping Company Limited ,China,Jiangyin,China,14-10-2016
2016,8513704,Li Bai ,General Cargo With Container Capacity,13843,,1988,China,,Shanghai CP International Ship Management & Broker Company Limited  ,China,Shanghai CP International Ship Management & Broker Company Limited  ,Shanghai Hongfa Shipping Company  ,China,Alang,India,12-05-2016
2016,9000924,Tang Shan Hai 3,Bulk Carrier,23277,,1991,China,,Tangshan Huaxing Shipping Company Limited ,China,Tangshan Huaxing Shipping Company Limited ,Tangshan Huaxing Shipping Company Limited ,China,Jiangyin,China,16-01-2016
2016,9052862,Chang Ming Sheng,Bulk Carrier,35874,,1993,China,,Tianjin Chang Ming Shipping Group Company Limited ,China,Tianjin Chang Ming Shipping Group Company Limited ,Tianjin Chang Ming Shipping Group Company Limited ,China,Jiangmen,China,08-06-2016
2016,7632412,Clio,Bulk Carrier,15189,,1977,Comoros,,Fujian Huarong Marine Shipping Company Limited ,China,Fujian Huarong Marine Shipping Company Limited ,Asia Star Shipping Limited ,Hong Kong,Alang,India,21-01-2016
2016,8712477,King,Bulk Carrier,36131,,1989,Comoros,,Shandong Shipping Corporation (Shandong Shipping Company Limited) ,China,Shandong Province Marine Shipping Company ,Sheng Da Shipping S.A. ,China,Gadani,Pakistan,19-11-2016
2016,8821929,Szymanowski ,General Cargo With Container Capacity,18184,,1991,Cyprus ,,Chinese-Polish Joint Stock Shipping Company (CHIPOLBROK)  ,China,Chinese-Polish Joint Stock Shipping Company (CHIPOLBROK)  ,Szymanowski Shipping Company Limited  ,Cyprus,Alang,India,03-09-2016
2016,9002178,Nicetec,Wood-Chip Carrier,44802,,1991,Hong Kong,,Adani Shipping (China) Company Limited ,China,Adani Shipping (China) Company Limited ,NICETEC Maritime Limited ,Hong Kong,Chittagong,Bangladesh,26-02-2016
2016,9236183,Yong Jia,Bulk Carrier,40437,,2001,Hong Kong,,China COSCO Shipping Corporation Limited ,China,COSCO (HK) Shipping Company Limited ,Silvercord Shipping Limited ,Hong Kong,Jiangyin,China,30-05-2016
2016,9144495,Hua Qiang,Bulk Carrier,26062,,1998,Hong Kong,,China COSCO Shipping Corporation Limited ,China,COSCO (HK) Shipping Company Limited ,Gainlink Shipping Limited ,Hong Kong,Jiangyin,China,29-05-2016
2016,9233363,Tian Tong Feng,Bulk Carrier,39042,,2001,Hong Kong,,China COSCO Shipping Corporation Limited ,China,COSCO Bulk Carrier Company Limited ,Jin Peng Nav. ,Panama,Zhangjiagang,China,21-04-2016
2016,9109483,Richmond,Bulk Carrier,36559,,1996,Hong Kong,,China COSCO Shipping Corporation Limited  ,China,COSCO Shanghai Ship Management Company Limited (COSHIPMAN)  ,Surplus Transportation Limited  ,China,Chittagong,Bangladesh,06-09-2016
2016,9214070,Tian Song Feng,Bulk Carrier,39042,,2000,Hong Kong,,China Ocean Shipping (Group) Company (COSCO) ,China,China Ocean Shipping (Group) Company (COSCO) ,Jin Ying Navigation Incorporated ,Hong Kong,Jiangyin,China,21-01-2016
2016,9203497,Tian Du Feng,Bulk Carrier,38767,,2001,Hong Kong,,China Shipping (Group) Company ,China,China Shipping International Ship Management Company Limited Guangzhou Branch ,Jin Lu Navigation Incorporated ,Panama,Zhangjiagang,China,02-06-2016
2016,9227699,Tian Yang Feng,Bulk Carrier,38860,,2000,Hong Kong,,China Shipping (Group) Company - SEE NOW AS CHINA COSCO SHIPPING CORPORATION LIMITED ,China,China Shipping (Hong Kong) Marine Company Limited ,Jin He Navigation Incorporated ,Hong Kong,Jiangyin,China,22-01-2016
2016,8821955,Jia Xing,General Cargo With Container Capacity,18177,,1992,Hong Kong,,Chinese-Polish Joint Stock Shipping Company (CHIPOLBROK) ,China,Chinese-Polish Joint Stock Shipping Company (CHIPOLBROK) ,Yongxing Maritime Company Limited ,Hong Kong,Gadani,Pakistan,17-12-2016
2016,8819201,Fareast Sunny,Bulk Carrier,23270,,1989,Hong Kong,,Jiangsu Far East Shipping Company Limited  ,China,Jiangsu Far East Shipping Company Limited  ,Fareast Sunny Shipping S.A.  ,Hong Kong,Chittagong,Bangladesh,13-08-2016
2016,9146728,Golden Trust,Bulk Carrier,85902,,1996,Hong Kong,,Jiangsu Huaxi Group Corporation  ,China,Jiangsu Steamship Company Limited  ,Golden Huaren Shipping Company Limited  ,China,Gadani,Pakistan,26-05-2016
2016,8514289,Fu Tian,Bulk Carrier,4843,,1986,Hong Kong,,Shenzhen Shekou Shipping & Transportation Company Limited ,China,Shenzhen Shekou Shipping & Transportation Company Limited ,Shenzhen Shekou Shipping & Transportation Company Limited ,China,Alang,India,13-02-2016
2016,9136577,Sing Fu Star,Bulk Carrier,83658,,1996,Liberia,,Hong Da International Group Holdings Company Limited ,China,Jiuzhou Shipping Company Limited ,Team Power Shipping Limited ,Hong Kong,Chittagong,Bangladesh,23-10-2016
2016,8501543,Gas Jade,Liquefied Petroleum Gas Carrier,10195,,1987,Liberia,,Sino Gas & Energy Holdings Limited  ,China,Sino Gas & Energy Limited  ,Ocean Victory Limited  ,Singapore,Alang,India,16-09-2016
2016,8821931,Wieniawski ,General Cargo With Container Capacity,18208,,1992,Malta,,Chinese-Polish Joint Stock Shipping Company (CHIPOLBROK)  ,China,Chinese-Polish Joint Stock Shipping Company (CHIPOLBROK)  ,Wieniawski Maritime Company Limited  ,Cyprus,Alang,India,15-08-2016
2016,9128221,Arina,Bulk Carrier,38520,,1997,Niue,,Shanghai Puyuan Shipping Company Limited  ,China,Shanghai Puyuan Shipping Company Limited  ,Ching Yee Company Limited  ,China,Chittagong,Bangladesh,09-06-2016
2016,9074482,Pacific Pioneer,Bulk Carrier,36708,,1994,Panama,,ATL Shipping Limited ,China,ATL Shipping Limited ,Goldmax Development Limited ,British Virgin Islands,Chittagong,Bangladesh,08-12-2016
2016,9203124,Tianshunhai,Bulk Carrier,87625,,2000,Panama,,China COSCO Shipping Corporation Limited ,China,Qingdao Ocean Shipping Company Limited (COSCO Qingdao) ,Sea Lansa S.A. ,Panama,Zhoushan,China,19-05-2016
2016,9203112,Tianronghai,Bulk Carrier,87625,,2000,Panama,,China COSCO Shipping Corporation Limited ,China,Qingdao Ocean Shipping Company Limited (COSCO Qingdao) ,Sea Lansa S.A. ,Panama,Jiangyin,China,18-05-2016
2016,9154581,Tu Qiang,Bulk Carrier,26078,,1998,Panama,,China COSCO Shipping Corporation Limited ,China,COSCO (HK) Shipping Company Limited ,Strongfull Shipping Incorporated ,Panama,Xinhui,China,16-05-2016
2016,9123623,Jian Qiang,Bulk Carrier,26790,,1996,Panama,,China COSCO Shipping Corporation Limited ,China,COSCO (HK) Shipping Company Limited ,Jetway Shipping Corporation S.A. ,Hong Kong,Jiangyin,China,26-09-2016
2016,9154103,Fu Hua,Bulk Carrier,37937,,1997,Panama,,China COSCO Shipping Corporation Limited ,China,COSCO (HK) Shipping Company Limited ,Arsun Shipping Incorporated ,Panama,Zhangjiagang,China,27-10-2016
2016,9247869,COSCO Ran,Fully Cellular Containership,8917,,2001,Panama,,China COSCO Shipping Corporation Limited ,China,Shanghai Ocean Shipping Company Limited (COSCO Shanghai) ,COSCO Ran Shipping Limited ,Panama,Zhangjiagang,China,23-11-2016
2016,9247857,COSCO Sakura,Fully Cellular Containership,8917,,2001,Panama,,China COSCO Shipping Corporation Limited ,China,Shanghai Ocean Shipping Company Limited (COSCO Shanghai) ,COSCO Sakura Shipping Limited ,Panama,Xinhui,China,23-11-2016
2016,9130626,U Happy,Wood-Chip Carrier,36712,,1996,Panama,,China COSCO Shipping Corporation Limited  ,China,COSCO Shanghai Ship Management Company Limited (COSHIPMAN)  ,UHappy Shipping Private Limited  ,Panama,Chittagong,Bangladesh,25-06-2016
2016,9075656,ZOSCO Zhoushan,Bulk Carrier,75871,,1994,Panama,,China Ocean Shipping (Group) Company (COSCO) ,China,Zhejiang Ocean Shipping Company Limited (ZOSCO) ,Zosco Zhoushan Shipping Corporation ,Hong Kong,Chittagong,Bangladesh,12-02-2016
2016,9110286,Hanhai,Bulk Carrier,26063,,1996,Panama,,China Ocean Shipping (Group) Company (COSCO) ,China,COSCO Bulk Carrier Company Limited ,Pinghai Shipping Incorporated ,Panama,Xinhui,China,04-06-2016
2016,9159464,Lihai,Bulk Carrier,26829,,1998,Panama,,China Ocean Shipping (Group) Company (COSCO) ,China,COSCO Bulk Carrier Company Limited ,Lihai Maritime Incorporated ,Panama,Jiangyin,China,04-06-2016
2016,9109926,Yue Hai,Bulk Carrier,26063,,1996,Panama,,China Ocean Shipping (Group) Company (COSCO) ,China,COSCO (Cayman) Fortune Holding Company Limited ,Yuehai Shipping Incorporated ,Panama,Jiangyin,China,22-06-2016
2016,9075539,Lian Fu Star,Bulk Carrier,36559,,1994,Panama,,China Shipping (Group) Company  ,China,China Shipping (Group) Company  ,Carry Well Shipping Limited  ,Panama,Chittagong,Bangladesh,21-05-2016
2016,9041019,Fengi,Bulk Carrier,38679,,1994,Panama,,Fengli Group Company Limited ,China,Glory Asia Ocean Shipping Limited ,Tatiana Investments Limited ,Panama,Gadani,Pakistan,13-10-2016
2016,8512889,Everglory,Bulk Carrier,36987,,1988,Panama,,Fujian Hengfeng Shipping Company ,China,Fujian Hengfeng Shipping Company ,Hong Kong Everglory Shipping Limited ,Hong Kong,Alang,India,15-01-2016
2016,9046904,Evertop,Bulk Carrier,36560,,1993,Panama,,Fujian Hengfeng Shipping Company ,China,Fujian Hengfeng Shipping Company ,Charm Faith Shipping Limited ,Hong Kong,Alang,India,06-03-2016
2016,9086057,Zheng Bang,Bulk Carrier,39385,,1996,Panama,,Fujian Ocean Shipping Company Limited (FOSCO) ,China,Fujian Ocean Shipping Company Limited (FOSCO) ,Zheng Bang Shipping Group Limited ,Hong Kong,Chittagong,Bangladesh,30-03-2016
2016,9118666,Zheng Tai,Bulk Carrier,38852,,1996,Panama,,Fujian Ocean Shipping Company Limited (FOSCO)  ,China,Fujian Ocean Shipping Company Limited (FOSCO)  ,Zheng Tong Shipping Group Limited  ,Hong Kong,Chittagong,Bangladesh,08-04-2016
2016,8400232,Seward,Bulk Carrier,16605,,1985,Panama,,Greatsources Shipping Consultants Limited ,China,Greatsources Shipping Consultants Limited ,Seward Shipping Company Limited ,Panama,Alang,India,11-03-2016
2016,9077111,Sino 6,Combined Bulk And Oil Carrier,45593,,1994,Panama,,Guangzhou Kuifenghang Shipping Company Limited ,China,Guangzhou Kuifenghang Shipping Company Limited ,Hongkong De Feng Shipping Limited ,Hong Kong,Gadani,Pakistan,19-11-2016
2016,8812722,Sino 3,Bulk Carrier,17061,,1989,Panama,,Guangzhou Kuifenghang Shipping Company Limited  ,China,Guangzhou Kuifenghang Shipping Company Limited  ,Hong Kong Sino 3 Shipping Limited  ,Hong Kong,Chittagong,Bangladesh,05-08-2016
2016,8507755,Rui Fu,Bulk Carrier,14868,,1985,Panama,,Guangzhou Seaway International Ship Management Company ,China,Guangzhou Seaway International Ship Management Company ,Robust Yields Limited  ,Panama,Chittagong,Bangladesh,23-07-2016
2016,8309024,Amovita,Bulk Carrier,22145,,1986,Panama,,Harmony Growing Ship Management Company Limited ,China,Harmony Growing Ship Management Company Limited ,Amovita Shipping Limited,China,Alang,India,12-02-2016
