YEAR,IMO,NAME,TYPE,GT,LDT,BUILT,LAST FLAG,PREVIOUS_FLAG,BENEFICIAL OWNER,BO COUNTRY,COMMERCIAL OPERATOR,REGISTERED OWNER,RO COUNTRY,PLACE,COUNTRY,ARRIVAL
2017,9005481,Happy Fellow,Liquefied Petroleum Gas Carrier,3703,,1992,Isle of Man,,Naviera Ultranav Limitada ,Chile,Othello Shipping Company ApS ,Iguana Shipping & Finance Incorporated ,Panama,Alang,India,17-Apr
2017,9200756,Silver Bridge,Tanker,57944,,1999,Marshall Islands,,Bank of Communications,China,Sinokor Merchant Marine Co Ltd,Haojiang International Ship,Hong Kong  ,Chittagong,Bangladesh,17-Oct
2017,9160267,Wu Chang Hai,Bulk Carrier,16677,,1998,China,,China COSCO Shipping Corporation Limited ,China,COSCO BULK,COSCO BULK,China,Taixing,China,17-Jul
2017,9117703,Nan Hai,Bulk Carrier,26123,,1996,Panama,,China COSCO Shipping Corporation Limited ,China,COSCO BULK,Nanhai Shipping Inc,Panama,Jiangyin,China,17-Jul
2017,8903313,Peng Ying,Bulk Carrier,36544,,1990,China,,China COSCO Shipping Corporation Limited ,China,COSCO HK Shipping Co Ltd,Shenzhen Ocean Shipping Co Ltd,China,Taixing,China,17-Jul
2017,9155327,Song Hai,Bulk Carrier,27585,,1998,China,,China COSCO Shipping Corporation Limited ,China,COSCO BULK,COSCO BULK,China,Zhoushan,China,17-Jul
2017,8913198,You Liang,Bulk Carrier,23303,,1991,China,,China COSCO Shipping Corporation Limited ,China,Shenzhen Ocean Shipping Co Ltd,Shenzhen Ocean Shipping Co Ltd,China,Zhoushan,China,17-Aug
2017,9159452,Lu Hai,Bulk Carrier,26829,,1998,China,,China COSCO Shipping Corporation Limited ,China,COSCO BULK,COSCO BULK,China,Zhoushan,China,17-Aug
2017,9236169,Yong Huan,Bulk Carrier,40437,,2000,Hong Kong,,China COSCO Shipping Corporation Limited ,China,COSCO HK Shipping Co Ltd,Well Crown Shipping,Hong Kong  ,Jiangyin,China,17-Jul
2017,9251872,Dayahai,Bulk Carrier,28653,,2002,Hong Kong,,China COSCO Shipping Corporation Limited ,China,COSCO HK Shipping Co Ltd,Dayahai Shipping Ltd,Hong Kong  ,Jiangyin,China,17-Jul
2017,9236834,Kang Qiang,Bulk Carrier,28613,,2002,Hong Kong,,China COSCO Shipping Corporation Limited ,China,Oldendorff Carriers GmbH & Co,Winview Shipping Ltd,Hong Kong  ,Jiangyin,China,17-Jul
2017,9228019,Yong Tong,Bulk Carrier,38641,,2001,Hong Kong,,China COSCO Shipping Corporation Limited ,China,COSCO HK Shipping Co Ltd,Richson Shipping Ltd,Hong Kong  ,Xinhui,China,17-Jul
2017,9216418,Yong Feng,Bulk Carrier,39873,,2000,Hong Kong,,China COSCO Shipping Corporation Limited ,China,COSCO HK Shipping Co Ltd,Eastar Shipping Ltd,Hong Kong  ,Jiangyin,China,17-Jul
2017,9144536,Sheng Qiang,Bulk Carrier,26062,,1998,Hong Kong,,China COSCO Shipping Corporation Limited ,China,COSCO HK Shipping Co Ltd,Victory Castle Shipping Ltd,Hong Kong  ,Jiangyin,China,17-Aug
2017,9144500,Xin Qiang,Bulk Carrier,26062,,1998,Hong Kong,,China COSCO Shipping Corporation Limited ,China,COSCO HK Shipping Co Ltd,Kingswill Shipping Ltd,Hong Kong  ,Jiangyin,China,17-Aug
2017,9144512,Gao Qiang,Bulk Carrier,26062,,1998,Hong Kong,,China COSCO Shipping Corporation Limited ,China,COSCO HK Shipping Co Ltd,Onford Shipping Ltd,Hong Kong  ,Jiangyin,China,17-Aug
2017,9228007,Yong Li,Bulk Carrier,38641,,2001,Hong Kong,,China COSCO Shipping Corporation Limited ,China,Oldendorff Carriers GmbH & Co,Evergold Transportation Ltd,Hong Kong  ,Jiangyin,China,17-Aug
2017,9216420,Yong Tai,Bulk Carrier,39873,,2001,Hong Kong,,China COSCO Shipping Corporation Limited ,China,COSCO HK Shipping Co Ltd,Smart Transportation Ltd,Hong Kong  ,Xinhui,China,17-Sep
2017,9104598,Hua Run Dian Li 1,Bulk Carrier,26091,,1995,China,,China COSCO Shipping Corporation Limited ,China,China Shipping Development Company Limited ,China Resources Power Shipping (Tianjin) Company Limited ,China,Jiangyin,China,17-Jan
2017,9123635,Gang Qiang,Bulk Carrier,26790,,1997,Panama,,China COSCO Shipping Corporation Limited ,China,COSCO (HK) Shipping Company Limited ,Longood Maritime Incorporated ,Panama,Jiangyin,China,17-Jan
2017,8912637,Peng Zhong,Bulk Carrier,25891,,1990,China,,China COSCO Shipping Corporation Limited ,China,Shenzhen Ocean Shipping Company Limited (COSCO Shenzhen) ,Shenzhen Ocean Shipping Company Limited (COSCO Shenzhen) ,China,Zhangjiagang,China,17-Jan
2017,8321709,Xin Chun He,Fully Cellular Containership,1984,,1984,China,,China COSCO Shipping Corporation Limited ,China,Shanghai Panasia Shipping Company Limited ,Shanghai Panasia Shipping Company Limited ,China,Jiangyin,China,17-Jan
2017,9262352,De Ping Hai,Bulk Carrier,40437,,2002,China,,China COSCO Shipping Corporation Limited ,China,Lianyungang Ocean Shipping Company (COSCO Lianyungang) ,Lianyungang Ocean Shipping Company (COSCO Lianyungang) ,China,Zhangjiagang,China,17-Jan
2017,9216432,Cos Intrepid,Bulk Carrier,39795,,2001,Hong Kong,,China COSCO Shipping Corporation Limited ,China,COSCO (Singapore) Private Limited ,Hanbo Shipping Limited ,Hong Kong,Xinhui,China,17-Jan
2017,9168881,Cos Fair,Bulk Carrier,26829,,1999,Singapore,,China COSCO Shipping Corporation Limited ,China,COSCO (Singapore) Private Limited ,COS Fair Shipping Private Limited ,Singapore,Jiangyin,China,17-Feb
2017,9238193,Kang Chang,Bulk Carrier,29999,,2001,Hong Kong,,China COSCO Shipping Corporation Limited ,China,COSCO (HK) Shipping Company Limited ,Ever View Shipping ,Hong Kong,Jiangyin,China,17-Feb
2017,9240823,Kang Hing,Bulk Carrier,29935,,2002,Hong Kong,,China COSCO Shipping Corporation Limited ,China,COSCO (HK) Shipping Company Limited ,Million Ocean Shipping Limited ,Hong Kong,Jiangyin,China,17-Mar
2017,9230359,Jiu Long Feng,Bulk Carrier,39894,,2002,China,,China COSCO Shipping Corporation Limited ,China,China Shipping Bulk Carrier Company Limited ,China Shipping Bulk Carrier Company Limited ,China,Zhangjiagang,China,17-Mar
2017,9144483,Zhi Qiang,Bulk Carrier,26062,,1998,Hong Kong,,China COSCO Shipping Corporation Limited ,China,COSCO (HK) Shipping Company Limited ,Fullbest Shipping Limited ,Hong Kong,Jiangyin,China,17-Mar
2017,9238208,Kang Sheng,Bulk Carrier,29999,,2002,Hong Kong,,China COSCO Shipping Corporation Limited ,China,COSCO (HK) Shipping Company Limited ,Ever Bright Shipping ,Hong Kong,Jiangyin,China,17-Mar
2017,9104548,Shi Dai 3,Bulk Carrier,36561,,1994,China,,China COSCO Shipping Corporation Limited ,China,Shanghai Time Shipping Company Limited ,Shanghai Time Shipping Company Limited ,China,Jiangyin,China,17-Mar
2017,9077381,Yin Dong,Bulk Carrier,26824,,1994,China,,China COSCO Shipping Corporation Limited ,China,Shanghai Time Shipping Company Limited ,Shanghai Time Shipping Company Limited ,China,Jiangyin,China,17-Mar
2017,9154593,Jia Qiang,Bulk Carrier,26078,,1998,Panama,,China COSCO Shipping Corporation Limited ,China,COSCO (HK) Shipping Company Limited ,Tactwell Shipping Incorporated ,Panama,Jiangyin,China,17-Apr
2017,9168893,Cos Glory,Bulk Carrier,26829,,1999,Panama,,China COSCO Shipping Corporation Limited ,China,COSCO (Singapore) Private Limited ,COS Glory Shipping Incorporated ,Panama,Jiangyin,China,17-Apr
2017,9176670,Sea Maple,Bulk Carrier,26136,,2000,Panama,,China COSCO Shipping Corporation Limited ,China,China COSCO Shipping Corporation Limited ,C.& I. Shipholding S.A. ,Panama,Unknown,China,17-Apr
2017,9264441,Kang Zhong,Bulk Carrier,29145,,2002,Hong Kong,,China COSCO Shipping Corporation Limited ,China,COSCO (HK) Shipping Company Limited ,Art Link Shipping Limited ,Hong Kong,Xinhui,China,17-Apr
2017,9162057,Fu Da,Bulk Carrier,37644,,1997,Hong Kong,,China COSCO Shipping Corporation Limited ,China,COSCO (HK) Shipping Company Limited ,Sunyuan Shipping Company Limited ,Hong Kong,Xinhui,China,17-Apr
2017,9117698,Beihai,Bulk Carrier,26123,,1995,Panama,,China COSCO Shipping Corporation Limited ,China,Shanghai Ocean Shipping Company Limited (COSCO Shanghai) ,Beihei Shipping Incorporated ,Panama,Jiangyin,China,17-Apr
2017,9216444,Cos Joy,Bulk Carrier,39795,,2001,Hong Kong,,China COSCO Shipping Corporation Limited ,China,COSCO (Singapore) Private Limited ,Sanbo Shipping Limited ,Hong Kong,Jiangyin,China,17-May
2017,9154579,Jin Qiang,Bulk Carrier,26078,,1998,Panama,,China COSCO Shipping Corporation Limited ,China,COSCO (HK) Shipping Company Limited ,Cycle Wide Shipping Incorporated ,Panama,Jiangyin,China,17-May
2017,9144524,Chang Qiang,Bulk Carrier,26062,,1998,Hong Kong,,China COSCO Shipping Corporation Limited ,China,COSCO (HK) Shipping Company Limited ,Starworld Shipping Limited ,Hong Kong,Jiangyin,China,17-May
2017,9240835,Kang Long,Bulk Carrier,29935,,2002,Hong Kong,,China COSCO Shipping Corporation Limited ,China,COSCO (HK) Shipping Company Limited ,Skylink Transportation Limited ,Hong Kong,Jiangyin,China,17-May
2017,9117715,Zhong Hai,Bulk Carrier,26123,,1996,Panama,,China COSCO Shipping Corporation Limited ,China,COSCO Bulk Carrier Company Limited ,Zhonghai Shipping Incorporated ,Panama,Jiangyin,China,17-May
2017,9253480,Cos Knight,Bulk Carrier,30053,,2002,Panama,,China COSCO Shipping Corporation Limited ,China,Oldendorff Carriers GmbH & Co,Cos Knight Shipping Maritime,Panama,Xinhui,China,17-Oct
2017,8910043,Chang He,General Cargo,1316,,1989,Panama,,China Govt,China,V-Sky Shipping Ltd-HKG,Xin He Shipping Ltd,British Virgin Islands,Jangjyin,China,17-Aug
2017,8608030,Dina Ocean,Bulk Carrier,11208,,1987,Niue,,China Govt,China,Bo-Rich Shipping Co Ltd-BVI,Lilac Group Ltd,Seychelles,Chittagong,Bangladesh,17-Sep
2017,8821943,Chong Ming,General Cargo,18177,,1993,Hong Kong,,China Govt,China,Chinese-Polish Joint Stock,Pearl Bridge Shipping Co Ltd,Hong Kong  ,Gadani,Pakistan,17-Oct
2017,9055917,Lian Shan Hu,"Ferry, Twin-Hull",518,,1992,China,,China Govt,China,Yuet Hing Marine Supplies Co,Panyu Passenger Cargo,China,Unknown,China,17-Nov
2017,9055905,Cui Heng Hu,"Ferry, Twin-Hull",518,,1992,China,,China Govt,China,Yuet Hing Marine Supplies Co,Zhongshan Hong Kong Passenger,China,Unknown,China,17-Nov
2017,9106716,Yin Tai,Bulk Carrier,26057,,1994,China,,China Huaneng Group,China,Shanghai Time Shipping Co Ltd,Shanghai Time Shipping Co Ltd,China,Zhoushan,China,17-Aug
2017,9230385,Shen Nong Feng,Bulk Carrier,39894,,2002,China,,China Shipping Bulk Carrier Co,China,China Shipping Bulk Carrier Co,China Shipping Bulk Carrier Co,China,Xinhui,China,17-Oct
2017,8823707,Tibor,General Cargo,2333,,1988,Tanzania,,Dalian Xinsheng Shipping Agency Company Limited ,China,Dalian Xinsheng Shipping Agency Company Limited ,Rich Mine Company Limited ,Cambodia,Jiangyin,China,17-Feb
2017,9008550,Teng,Container Ship,34231,,1992,Comoros,China,Grand China Logistics Group,China,Grand China Shipping Yantai Co,Grand China Shipping Yantai Co,China,Gadani,Pakistan,17-Sep
2017,8515037,Yao Fu,Bulk Carrier,12283,,1986,Panama,,Guangzhou Seaway International Ship Management Company Limited ,China,Guangzhou Seaway International Ship Management Company Limited ,Yao Fu Limited ,British Virgin Islands,Chittagong,Bangladesh,17-Apr
2017,9359985,Generoso,General Cargo,3144,,2005,Cyprus,,Heng Yuan International Shipping Company Limited ,China,Heng Yuan International Shipping Company Limited ,Shanhe International Shipping Limited ,Hong Kong,Aliaga,Turkey,17-Jun
2017,9132698,Long Fu Star,Bulk Carrier,83658,,1996,Liberia,,Hong Da International Group Holdings Company Limited ,China,Jiuzhou Shipping Company Limited ,Ocean Great Shipping Limited ,Hong Kong,Chittagong,Bangladesh,17-Feb
2017,8608781,Hong Qing,General Cargo With Container Capacity,14499,,1987,St Vincent & The Grenadines,,Hongyuan Marine Company Limited ,China,Hongyuan Marine Company Limited ,Hongqing Shipping Company Limited ,Marshall Islands,Alang,India,17-Mar
2017,8716095,Hong Leopard,General Cargo With Container Capacity,23207,,1989,St Vincent & The Grenadines,,Hongyuan Marine Company Limited ,China,Hongyuan Marine Company Limited ,Jinhua Shipping Company Limited ,St Vincent & The Grenadines,Alang,India,17-Apr
2017,8806345,Hua Ming,Product Tanker,18827,,1988,Panama,,Hua Ming Shipping Company Limited ,China,Hua Ming Shipping Company Limited ,Hua Ming Shipping Company Limited ,China,Chittagong,Bangladesh,17-Mar
2017,8306852,Wealthy Ocean,Bulk Carrier,14889,,1985,Panama,,Hubei Qintai Shipping Company Limited ,China,Hubei Qintai Shipping Company Limited ,Bo-Rich Shipping Limited ,St Vincent & The Grenadines,Alang,India,17-Apr
2017,8608602,Rui Dong,General Cargo With Container Capacity,8416,,1986,Panama,,Hubei Qintai Shipping Company Limited ,China,Hubei Qintai Shipping Company Limited ,Beauty Land Limited ,Seychelles,Alang,India,17-Mar
2017,8901793,Kai Yang,Bulk Carrier,25891,,1989,Panama,,Kaili Shipping (HK) Limited ,China,Kaili Shipping (HK) Limited ,Glory Sea Shipping Limited ,Hong Kong,Chittagong,Bangladesh,17-Apr
2017,8503034,King Success,General Cargo With Container Capacity,17101,,1987,St Vincent & The Grenadines,,Nanjing King Ship Management Company Limited ,China,Nanjing King Ship Management Company Limited ,King Favor Shipping Company Limited ,St Vincent & The Grenadines,Gadani,Pakistan,17-Dec
2017,8415809,Fris,Vehicles Carrier,36201,,1985,St Kitts & Nevis,Panama,Northstar,China,Kawasaki Kisen Kaisha Ltd,Pacific Bridge Shipping Corp,Panama,Chittagong,Bangladesh,17-Sep
2017,8910380,Hun Ton,Bulk Carrier,38203,,1990,Niue,Panama,Qingdao Da Tong International Shipping Management Company Limited ,China,Qingdao Da Tong International Shipping Management Company Limited ,Tong Yun Shipping S.A. ,Panama,Gadani,Pakistan,17-Jan
2017,8312344,Hua Sheng,Bulk Carrier,24126,,1987,Panama,,Rongcheng Shidao Company Limited ,China,Rongcheng Shidao Company Limited ,Hua Sheng Shipping Company Limited ,Marshall Islands,Chittagong,Bangladesh,17-Feb
2017,9085584,Bei Jiang,Bulk Carrier,26040,,1994,China,,SDIC,China,Shanghai Yuanwang Shpg Co Ltd,Shanghai Yuanwang Shpg Co Ltd,China,Xinhui,China,17-Sep
2017,9050242,Ya Long Jiang,Bulk Carrier,35874,,1992,China,,SDIC,China,Shanghai Yuanwang Shpg Co Ltd,Shanghai Yuanwang Shpg Co Ltd,China,Xinhui,China,17-Sep
2017,9135171,Csc Tai Hai,General Cargo,9994,,1996,Hong Kong,,Shanghai Changhang Shipping,China,Yangtze Navigation HK Co Ltd,Yangtze Navigation HK Co Ltd,Hong Kong  ,Jiangyin,China,17-Oct
2017,8603640,Xiang Zhi,Bulk Carrier,15941,,1987,China,,Shanghai Yang Pu Zhe Hai Shipping Company Limited ,China,Shanghai Yang Pu Zhe Hai Shipping Company Limited ,Shanghai Yang Pu Zhe Hai Shipping Company Limited ,China,Jiangyin,China,17-Apr
2017,8309115,Oriental Hero,Bulk Carrier,14031,,1985,Panama,,Shanghai Yuhai Shipping Co,China,Shanghai Yuhai Shipping Co,Oriental Hero Shipping-PAN,Panama,Gadani,Pakistan,17-Sep
2017,7917446,Zhen,Heavy-Load Carrier,37743,,1981,St Vincent & The Grenadines,,Shanghai Zhenhua Port,China,Shanghai Zhenhua Shipping Co,Zhen Hua 11 Shipping - SVG,St Vincent & The Grenadines,Gadani,Pakistan,17-Aug
2017,7917410,Zhen Hua 10,Heavy-Load Carrier,37658,,1981,St Vincent & The Grenadines,,Shanghai Zhenhua Port,China,Shanghai Zhenhua Shipping Co,Zhen Hua 10 Shipping - SVG,St Vincent & The Grenadines,Gadani,Pakistan,17-Nov
2017,9040871,Jia Yong,Bulk Carrier,36575,,1993,China,,Shenzhen Energy Group Co Ltd,China,Shenzhen Energy Transportation,Shenzhen Energy Transportation,China,Xinhui,China,17-Aug
2017,7419250,Viking Boy,Tug/Supply Ship (O.R.S.V.),1560,,1976,Panama,,Sinopec,China,Sinopec Offshore Oilfield Serv,Sinopec Star Petroleum Co Ltd,China,Zhangjiagang,China,17-Aug
2017,9264049,Great Scenery,Bulk Carrier,27176,,2002,Hong Kong,,SINOTRANS,China,Sinotrans Ship Management Ltd,Great Scenery Shipping Ltd,Hong Kong  ,Jiangyin,China,17-Aug
2017,9130987,Yi Yun,Container Ship,4822,,1996,China,,SINOTRANS,China,Sinotrans Container Lines Co,Sinotrans Container Lines Co,China,Jingjiang,China,17-Sep
2017,9057587,Dong Jiang Hao,Bulk Carrier,36560,,1993,China,,Tianjin Changming Shpg Group,China,Tianjin Dongjiang Shpg Co Ltd,Tianjin Dongjiang Shpg Co Ltd,China,Xinhui,China,17-Oct
2017,8913590,Ishon,Tanker,28223,,1991,Liberia,,Triumph Sea,China,Nautical Marine Management,Black Fire Energy Ltd,Nigeria,Alang,India,17-Sep
